Permethrin,Scabies
Vitamin D (Ergocalciferol),Vitamin D Deficiency
NovoLOG FlexPen,Diabetes Mellitus Poorly Controlled
Clotrimazole,Tinea Corporis
Retrovir,Exposed To HIV Infection
DDAVP,Central Diabetes Insipidus
Aricept,Dementia
Prograf,Liver Transplant
Procrit,Anemia Of Chronic Kidney Disease
Stalevo 100,Parkinson's Disease
HumaLOG,Type I Diabetes Mellitus - Uncontrolled
Tobi,Tracheitis
Maxaron Forte,Pregnancy Complicated By Anemia
Insulin Syringe,Taking Medication For Diabetes Long-term Use Of Insulin
Tracleer,Secondary Pulmonary Hypertension
Loratadine,Allergic Rhinitis
Colistimethate Sodium,Chronic Ethmoidal Sinusitis
Lipitor,Hyperlipidemia
Hydroxychloroquine Sulfate,Systemic Lupus Erythematosus
Cefadroxil,Chronic Ethmoidal Sinusitis
Advate,Factor VIII Deficiency (Hemophilia)
Corvite 150,Pregnancy Complicated By Anemia
Hydrocortisone,Eczema
Cefadroxil,Chronic Maxillary Sinusitis
Pyrazinamide,Pulmonary Tuberculosis
Hectorol,Renal Secondary Hyperparathyroidism
Renagel,End Stage Renal Disease
MetFORMIN HCl,Diabetes Mellitus Poorly Controlled
Banzel,Lennox-Gastaut Syndrome
Rapamune,Renal Transplant
Tamiflu,Influenza
Allopurinol,Gout
Levemir,Taking Medication For Diabetes Long-term Use Of Insulin
Ursodiol 60mg/ml,TPN-induced Cholestasis
Evoxac,Sjogren's Syndrome
Solu-CORTEF,21-hydroxylase Deficiency (Salt Losing)
Tobi,Tracheostomy Care Requirement
Neoral,Renal Transplant
Rilutek,Amyotrophic Lateral Sclerosis
Sodium Bicarbonate,Renal Secondary Hyperparathyroidism
Nystatin,Candidiasis
Urso Forte,Primary Biliary Cirrhosis
Vimpat,Partial Complex Psychomotor Seizure With Intractable Seizure
Simvastatin,Hyperlipidemia
Rebif,Multiple Sclerosis
Aluminum Chloride,Hyperhidrosis
MetFORMIN HCl,Type II Diabetes Mellitus
CPAP Continuous Positive Airwa,Obstructive Sleep Apnea
None - No Current Medications,Child Enrolled In Day-care
Hydroxyurea,Sickle Cell Hb-SS Disease
Imuran,Pemphigus Vulgaris
Nystatin,Diaper Rash
Floxin Otic,Cholesteatoma Of Middle Ear And Mastoid
Glycopyrrolate,Housing DME For Tube Feeding
Chantix Starting Month Pak,Nicotine Dependence
Insulin Syringe,Diabetes Mellitus Poorly Controlled
Aspirin,Hyperlipidemia
"Pen Needles 1/2""",Taking Medication For Diabetes Long-term Use Of Insulin
Colistimethate Sodium,Chronic Frontal Sinusitis
Cefadroxil,Chronic Frontal Sinusitis
NovoLOG,Type I Diabetes Mellitus - Uncontrolled
Glycopyrrolate,Gastrostomy Care
Folic Acid,Rheumatoid Arthritis
Antihemophilic Factor,Factor VIII Deficiency (Hemophilia)
"Pen Needles 1/2""",Diabetes Mellitus Poorly Controlled
HumaLOG KwikPen,Taking Medication For Diabetes Long-term Use Of Insulin
Glycopyrrolate,Gastric Surgery Feeding Gastrostomy
Spiriva HandiHaler,Chronic Obstructive Pulmonary Disease
Byetta 10 MCG Pen,Diabetes Mellitus Poorly Controlled
Desmopressin Acetate,Central Diabetes Insipidus
AndroGel,Hypogonadism
None - No Current Medications,General Surgery
ValACYclovir HCl,Herpes Simplex Type II
NovoLOG,Visit For: Fit/Adjust Insulin Pump
Coumadin,Atrial Fibrillation
Citric Acid-Sodium Citrate,Metabolic Acidosis
Lancets Super Thin,Diabetes Mellitus Poorly Controlled
Colistimethate Sodium,Chronic Maxillary Sinusitis
Sodium Polystyrene Sulfonate,Hyperkalemia
OneTouch Ultra Test,Type I Diabetes Mellitus - Uncontrolled
Plavix,Coronary Artery Disease
OneTouch Ultra Test,Diabetes Mellitus Poorly Controlled
EpiPen Jr 2-Pak,Allergy To Peanuts
Replens,Vaginal Mucosa Atrophy
Humatrope,Growth Hormone Deficiency (Pituitary Dwarfism)
Cabergoline,Hyperprolactinemia
AndroGel Pump,Hypogonadism
Requip,Restless Legs Syndrome
Coenzyme Compositum,Disorder Of Mitochondrial Metabolism
Amoxicillin,Acute Otitis Media
Meclizine HCl,Vertigo
Pen Needles,Taking Medication For Diabetes Long-term Use Of Insulin
Alendronate Sodium,Osteoporosis
Allopurinol,Chronic Gout
Lancets Super Thin,Type I Diabetes Mellitus - Uncontrolled
Nephron FA,Anemia Of Chronic Kidney Disease
Betaseron,Multiple Sclerosis
Furosemide,Congestive Heart Failure
Lantus,Diabetes Mellitus Poorly Controlled
Isoniazid,Tuberculin PPD Induration Positive Interpretation
Prevpac,Helicobacter Pylori (H. Pylori) Infection
Tobi,Acute Tracheitis
Xyrem,Narcolepsy
Helixate FS,Factor VIII Deficiency (Hemophilia)
Numoisyn,Sjogren's Syndrome
Terbinafine HCl,Onychomycosis
Hydrochlorothiazide,Benign Essential Hypertension
Revatio,Pulmonary Hypertension
Combivir,HIV Infection
Xopenex HFA,Asthma
ROPINIRole HCl,Restless Legs Syndrome
HumaLOG,Visit For: Fit/Adjust Insulin Pump
Digoxin,Atrial Fibrillation
Patanol,Chronic Allergic Conjunctivitis
Namenda,Dementia
Epzicom,HIV Infection
Sodium Bicarbonate,Metabolic Acidosis
Benzonatate,Cough
Renvela,End Stage Renal Disease
Enbrel,Rheumatoid Arthritis
Zidovudine,Exposed To HIV Infection
Colchicine,Gout
NexIUM,Esophageal Reflux
One Touch Ultra Test Strips,Diabetes Mellitus Poorly Controlled
Levemir,Diabetes Mellitus Poorly Controlled
Aspirin,Coronary Artery Disease
Tracleer,Pulmonary Hypertension
Lisinopril,Hyperlipidemia
Hydrocortisone,Atopic Dermatitis
Levitra,Male Erectile Disorder
Leflunomide,Rheumatoid Arthritis
Afinitor,Renal Carcinoma
Cabergoline,Prolactinoma Microadenoma
Revlimid,Multiple Myeloma
Creon,Pancreatic Insufficiency
Lactulose,Constipation
Pulmozyme,Tracheitis
Nephron FA,Renal Osteodystrophy
Colchicine,Acute Gout
Tobi,Housing DME Oxygen Tank
Fluticasone Propionate,Allergic Rhinitis
Flomax,Benign Prostatic Hypertrophy
Lancets Super Thin,Taking Medication For Diabetes Long-term Use Of Insulin
Mercaptopurine,Crohn's Disease
Tev-Tropin,Growth Hormone Deficiency (Pituitary Dwarfism)
Epivir,HIV Infection
LevETIRAcetam,Seizure Disorder
Sodium Bicarbonate,"Chronic Kidney Disease, Stage 4"
DDAVP,Hypopituitarism
None - No Current Medications,Previous Hospitalizations
FluPHENAZine HCl,"Paranoid Schizophrenia, Stable"
Donepezil HCl,Memory Lapses Or Loss
HumaLOG Mix 75/25 KwikPen,Taking Medication For Diabetes Long-term Use Of Insulin
Triamcinolone Acetonide,Eczema
Lantus SoloStar,Type I Diabetes Mellitus - Uncontrolled
Donepezil HCl,Dementia
Terconazole,Bacterial Vaginosis
Byetta 5 MCG Pen,Diabetes Mellitus Poorly Controlled
Tamsulosin HCl,Benign Prostatic Hypertrophy
Stalevo 150,Parkinson's Disease
Fludrocortisone Acetate,Congenital Adrenal Hyperplasia
Carbidopa-Levodopa CR,Parkinson's Disease
Colistimethate Sodium,Acute Ethmoidal Sinusitis
LamISIL,Onychomycosis
Albustix,Nephrotic Syndrome
Lancets Super Thin,Reported Previous High Blood Pressure
Colchicine,Chronic Gout
Sensipar,End Stage Renal Disease
Glycopyrrolate,Quadriplegic Cerebral Palsy With Spasticity
Vigamox,Acute Conjunctivitis
Pyridoxine HCl,Latent Tuberculosis
Pen Needles,Diabetes Mellitus Poorly Controlled
Hectorol,"Chronic Kidney Disease, Stage 4"
Pyridoxine HCl,Tuberculin PPD Induration Positive Interpretation
Prenatal Advantage,Normal Initial Prenatal Checkup
Ergocalciferol TABS,Vitamin D Deficiency
Lantus SoloStar,Taking Medication For Diabetes Long-term Use Of Insulin
Bromocriptine Mesylate,Hyperprolactinemia
Diamox,Idiopathic Intracranial Hypertension
Clindamycin Phos-Benzoyl Perox,Acne
Bayer Contour Test,Taking Medication For Diabetes Long-term Use Of Insulin
Xopenex HFA,Reactive Airway Disease
Tobi,Housing DME Ventilator
Azilect,Parkinson's Disease
Metrogel,Rosacea
Pentasa,Crohn's Disease
Lisinopril,Hypertension
Desmopressin Acetate Spray,Central Diabetes Insipidus
Keppra,Seizure Disorder
Namenda,Alzheimer's Disease
None - No Current Medications,Elective Circumcision
None - No Current Medications,Oncologic Disorder
Sustiva,HIV Infection
Nystatin,Child Enrolled In Day-care
Sildenafil Citrate,Pulmonary Hypertension
Glycopyrrolate,Child With Special Needs
Bayer Contour Test,Diabetes Mellitus Poorly Controlled
Victoza,Diabetes Mellitus Poorly Controlled
Sodium Bicarbonate,Anemia Of Chronic Kidney Disease
Pulmozyme,Pancreatic Insufficiency
"Pen Needles 5/16""",Type I Diabetes Mellitus - Uncontrolled
Cetirizine HCl,Allergic Rhinitis
PHENobarbital,Quadriplegic Cerebral Palsy With Spasticity
Aricept,Alzheimer's Disease
HumaLOG KwikPen,Type I Diabetes Mellitus - Uncontrolled
Plaquenil,Systemic Lupus Erythematosus
Fexofenadine HCl,Allergic Rhinitis
Propylthiouracil,Graves' Disease
Imiquimod,Condyloma Acuminatum
Primidone,Familial (Benign Essential) Tremor
OneTouch Ultra Test,Taking Medication For Diabetes Long-term Use Of Insulin
NovoLOG,Taking Medication For Diabetes Long-term Use Of Insulin
CitraNatal Assure,Planning To Become Pregnant
Carvedilol,Congestive Heart Failure
Procrit,"Chronic Kidney Disease, Stage 4"
Cyanocobalamin,Vitamin B12 Deficiency
Neomycin-Polymyxin-HC,Otitis Externa
BD Ultra-Fine Lancets,Taking Medication For Diabetes Long-term Use Of Insulin
ValACYclovir HCl,Herpes Simplex
Lantus SoloStar,Diabetes Mellitus Poorly Controlled
Lantus,Taking Medication For Diabetes Long-term Use Of Insulin
Keppra,Partial Complex Psychomotor Seizure With Intractable Seizure
Bactrim 400-8- MG/5ML Solution,social history unchanged
Amoxicillin-Pot Clavulanate,Acute Sinusitis
Lantus,Type I Diabetes Mellitus - Uncontrolled
`,Hypopituitarism
Chantix Continuing Month Pak,Nicotine Dependence
Bicalutamide,Prostate Cancer
PHENobarbital,Gastric Surgery Feeding Gastrostomy
MetFORMIN HCl,Diabetes Mellitus
Tobi,Chronic Respiratory Failure
Cabergoline,Pituitary Prolactinoma
Citracal Prenatal 90+DHA,Planning To Become Pregnant
PHENobarbital,Gastrostomy Care
Potassium Citrate-Citric Acid,Renal Tubular Acidosis
Calmoseptine,Gastrostomy Care
Revatio,Secondary Pulmonary Hypertension
Ethambutol HCl,Atypical Mycobacterial Infection
MetFORMIN HCl,Hyperlipidemia
Lexapro,Depression
Didanosine,HIV Infection
Singulair,Asthma
EryPed 200,Gastroparesis
BD Ultra-Fine Lancets,Diabetes Mellitus Poorly Controlled
Nutropin AQ Pen,Growth Hormone Deficiency (Pituitary Dwarfism)
FreeStyle Lite Test,Diabetes Mellitus Poorly Controlled
Amiodarone HCl,Atrial Fibrillation
Pulmozyme,Tracheostomy Care Requirement
None - No Current Medications,Asthma
Truvada,Acquired Immunodeficiency Syndrome (AIDS)
NovoLOG FlexPen,Type I Diabetes Mellitus - Uncontrolled
One Touch Ultra Test Strips,Taking Medication For Diabetes Long-term Use Of Insulin
Betamethasone,Chronic Ethmoidal Sinusitis
Flovent HFA,Asthma
Hydrochlorothiazide,Essential Hypertension
Prezista,HIV Infection
Actonel,Osteoporosis
Glucagon Emergency,Type I Diabetes Mellitus
Requip XL,Parkinson's Disease
Ciprofloxacin HCl,Urinary Tract Infection
PHENobarbital,Housing DME For Tube Feeding
Mirapex,Parkinson's Disease
Revatio,Scleroderma
Concerta,"ADHD, Combined Type"
Androderm,Hypogonadism
Emcyt,Prostate Cancer
Actos,Diabetes Mellitus Poorly Controlled
Mefloquine HCl,Need For Prophylactic Antibiotics
DermOtic,Chronic Otitis Externa
NovoLOG,Diabetes Mellitus Poorly Controlled
ClomiPHENE Citrate,Female Infertility
Lisinopril,Essential Hypertension
Nitrofurantoin Monohyd Macro,Urinary Tract Infection
Ortho Micronor,Birth Control Method - Oral Contraceptives
"Pen Needles 5/16""",Reported Previous High Blood Pressure
Ambien CR,Insomnia
Tobi,Tracheostomy
Levoxyl,Hypothyroidism
Flagyl,Bacterial Vaginosis
Lisinopril,Benign Essential Hypertension
NexAVAR,Kidney Cancer
Boniva,Osteoporosis
Bactrim 400-8- MG/5ML Solution,Hydronephrosis
One Touch Ultra Test Strips,Type I Diabetes Mellitus - Uncontrolled
Oxygen,Hypoxia
Plavix,Hyperlipidemia
Fluconazole,Vaginal Candidiasis
Hydroxyurea,Sickle Cell Anemia
Calmoseptine,Gastric Surgery Feeding Gastrostomy
Glycopyrrolate,Unable To Restrain Bowel Movement
Calmoseptine,Housing DME For Tube Feeding
Floxin Otic,Conductive Hearing Loss
Droxia,Sickle Cell Hb-SS Disease
Amantadine HCl,Multiple Sclerosis
Bactrim 400-8- MG/5ML Solution,Vesicoureteral Reflux
PHENobarbital,Child With Special Needs
Glycopyrrolate,Wearing Diapers
Golytely,Diverticulosis
Concerta,Attention-deficit Hyperactivity Disorder
Stalevo 125,Parkinson's Disease
Aspirin,Essential Hypertension
Baraclude,"Chronic Hepatitis, B Virus"
Lancets Super Thin,Visit For: Fit/Adjust Insulin Pump
Aspirin,Hypertension
Coreg,Congestive Heart Failure
"Pen Needles 1/2""",Morbid Obesity
Hydrocortisone,Contact Dermatitis
PediaSure/Fiber,Gastric Surgery Feeding Gastrostomy
Sutent,Renal Cell Carcinoma
Viramune,HIV Infection
Methimazole,Hyperthyroidism
Calcitriol,Anemia Of Chronic Kidney Disease
Glycopyrrolate,Physical Disability: Wheelchair Dependence
Zemplar,Renal Secondary Hyperparathyroidism
HumaLOG KwikPen,Diabetes Mellitus Poorly Controlled
Sabril,Tuberous Sclerosis (Bourneville's Disease)
Nasonex,Allergic Rhinitis
Pulmozyme,Gastric Surgery Feeding Gastrostomy
Testosterone Cypionate,Hypogonadism
Benzoyl Peroxide,Acne
Asacol,Ulcerative Colitis
PediaSure/Fiber,Housing DME For Tube Feeding
Hydrochlorothiazide,Hypertension
Influenza (Split PF),Diffuse Obstructive Chronic Bronchitis
Calmoseptine,Child With Special Needs
Tobi,Dependence On A Respirator
Thyrogen,Thyroid Cancer
Veramyst,Allergic Rhinitis
NexAVAR,Renal Cell Carcinoma
Cortef,Congenital Adrenal Hyperplasia
Kaletra,Acquired Immunodeficiency Syndrome (AIDS)
LaMICtal,Partial Complex Psychomotor Seizure With Intractable Seizure
Hydrochlorothiazide,Hyperlipidemia
Norvir,Acquired Immunodeficiency Syndrome (AIDS)
Floxin Otic,Tympanic Membrane Perforation
Enbrel SureClick,Rheumatoid Arthritis
AmLODIPine Besylate,Hypertension
PHENobarbital,Seizure Disorder
Singulair,Allergic Rhinitis
Nephron FA,Secondary Hyperparathyroidism
Vimpat,Partial Complex Seizure With Secondary Generalization With Intractable Seizure
Polyethylene Glycol 3350,Chronic Constipation
Humira Pen,Rheumatoid Arthritis
Fosamax,Osteoporosis
Pulmozyme,Chronic Respiratory Failure
Lipitor,Coronary Artery Disease
Solu-CORTEF,Hypopituitarism
AmLODIPine Besylate,Benign Essential Hypertension
Foltx,Homocysteinemia
Enbrel,Psoriatic Arthropathy
Hydroxychloroquine Sulfate,Sjogren's Syndrome
Methotrexate Sodium,Rheumatoid Arthritis
Ursodiol 60mg/ml,Short Bowel Syndrome
Synvisc One,Localized Osteoarthritis Of The Knee
Mirapex,Restless Legs Syndrome
Lithium Carbonate,Bipolar Disorder
Ethambutol HCl,Pulmonary Tuberculosis
VESIcare,Urge Incontinence Of Urine
Cyproheptadine HCl,Failure To Thrive In Childhood
Pregnyl,Female Infertility
Advair Diskus,Chronic Obstructive Pulmonary Disease
Combivent,Chronic Obstructive Pulmonary Disease
Metoprolol Succinate,Hyperlipidemia
Vigamox,Conjunctivitis
Prevacid,Esophageal Reflux
Trileptal,Partial Complex Psychomotor Seizure With Intractable Seizure
Nystatin,General Surgery
Myfortic,Renal Transplant
Pradaxa,Atrial Fibrillation
Diamox Sequels,Idiopathic Intracranial Hypertension
Antipyrine-Benzocaine,Earache (Symptom)
Isentress,HIV Infection
Humira,Rheumatoid Arthritis
Keppra XR,Partial Complex Psychomotor Seizure With Intractable Seizure
Adcirca,Pulmonary Hypertension
BD Pen Needle Short U/F,Diabetes Mellitus Poorly Controlled
4-Aminopyridine,Multiple Sclerosis
Pulmozyme,Dependence On A Respirator
Nephron FA,Asymptomatic Hyperuricemia
Pulmozyme,Gastrostomy Care
Tobramycin Sulfate,Tracheostomy Care Requirement
Citric Acid-Sodium Citrate,Renal Tubular Acidosis
Numoisyn,Sicca Syndrome
Triamcinolone Acetonide,Atopic Dermatitis
Xopenex HFA,Allergic Rhinitis
Procrit,Renal Secondary Hyperparathyroidism
Hydrocortisone,Child Enrolled In Day-care
Stalevo 200,Parkinson's Disease
Sildenafil Citrate,Chronic Lung Disease Of Newborn
Glycopyrrolate,Percutaneous Placement Of Gastrostomy Tube
OXcarbazepine,Partial Complex Psychomotor Seizure With Intractable Seizure
Spironolactone,Congestive Heart Failure
Lasix,Congestive Heart Failure
BenzaClin,Acne
Selenium Sulfide,Tinea Versicolor
Pulmozyme,Housing DME Ventilator
NovoLOG,Type I Diabetes Mellitus
Lisinopril,Coronary Artery Disease
OneTouch Ultra Test,Reported Previous High Blood Pressure
Pravastatin Sodium,Hyperlipidemia
Loratadine,Asthma
Sinemet,Parkinson's Disease
Albuterol,Asthma
Imiquimod,Genital Warts
PediaSure/Fiber,Gastrostomy Care
Carbamide Peroxide,Cerumen Impaction
Influenza (Split PF),Vaccines Prophylactic Need Against Influenza
GlyBURIDE-MetFORMIN,"Type II Diabetes Mellitus - Uncomplicated, Uncontrolled"
Afinitor,Renal Cell Carcinoma
Sotalol HCl,Ventricular Tachycardia
HumaLOG Mix 75/25,Taking Medication For Diabetes Long-term Use Of Insulin
Ziagen,HIV Infection
Humatrope,Short Stature (On Exam)
Pulmozyme,Housing DME Oxygen Tank
Focalin XR,"ADHD, Combined Type"
Pilocarpine HCl,Sjogren's Syndrome
Zerit,HIV Infection
Glycopyrrolate,Tracheostomy Care Requirement
Rena-Vite,End Stage Renal Disease
Dexamethasone Sodium Phosphate,Chronic Ethmoidal Sinusitis
Simponi,Ankylosing Spondylitis
Glycopyrrolate,Housing DME Oxygen Tank
HumaLOG,Type I Diabetes Mellitus
Blood Pressure Monitor/L Cuff,Taking Medication For Diabetes Long-term Use Of Insulin
Viread,HIV Infection
PHENobarbital,Delayed Developmental Milestones
PC Pediatric Electrolyte,Housing DME Oxygen Tank
Saline Nasal Spray,Upper Respiratory Tract Disorders
Tobi,Gastrostomy Care
PHENobarbital,Unable To Restrain Bowel Movement
Lipitor,Essential Hypertension
Prevpac,Gastritis Due To H. Pylori
Renagel,Chronic Renal Failure
Bicillin C-R,Acute Streptococcal Tonsillitis
Sodium Bicarbonate,"Chronic Kidney Disease, Stage 3"
Betamethasone,Nasal Polyps
HumaLOG Mix 75/25 KwikPen,Diabetes Mellitus Poorly Controlled
Byetta 10 MCG Pen,Type II Diabetes Mellitus
Desmopressin Acetate,Hypopituitarism
MetFORMIN HCl,Obesity
Arava,Rheumatoid Arthritis
Boniva,Osteopenia
BD Pen Needle Short U/F,Taking Medication For Diabetes Long-term Use Of Insulin
Actos,Type II Diabetes Mellitus
Dexamethasone Sodium Phosphate,Chronic Frontal Sinusitis
Colcrys,Acute Gout
ALPRAZolam,Anxiety (Symptom)
DME,Venous Insufficiency
Digoxin,Congestive Heart Failure
Comtan,Parkinson's Disease
Aggrenox,Cerebral Artery Thrombosis - With Cerebral Infarction
Tretinoin,Acne
Sotalol HCl,Cardioverter-defibrillator Pulse Generator Insertion With Leads
Ferrous Sulfate,Anemia
Lancets 30G,Taking Medication For Diabetes Long-term Use Of Insulin
ClomiPHENE Citrate,Polycystic Ovarian Syndrome
Budesonide,Chronic Frontal Sinusitis
Sildenafil Citrate,Dependence On Supplemental Oxygen
Bromocriptine Mesylate,Pituitary Prolactinoma
Ammonium Lactate,Keratosis Pilaris
Pramipexole Dihydrochloride,Parkinson's Disease
Lexiva,HIV Infection
Xalatan,Glaucoma
Tobi,Gastric Surgery Feeding Gastrostomy
Crestor,Hyperlipidemia
Benzonatate,Acute Upper Respiratory Infection
Tobi,Housing DME For Tube Feeding
Calmoseptine,Tracheostomy Care Requirement
Casodex,Prostate Cancer
Flovent HFA,Allergic Rhinitis
Hectorol,Anemia Of Chronic Kidney Disease
Pramipexole Dihydrochloride,Restless Legs Syndrome
Flovent HFA,Reactive Airway Disease
Naphcon-A,Acute Vernal Conjunctivitis
BD Insulin Syringe Ultrafine,Taking Medication For Diabetes Long-term Use Of Insulin
Calcitriol,"Chronic Kidney Disease, Stage 4"
GlyBURIDE-MetFORMIN,Diabetes Mellitus Poorly Controlled
CitraNatal Assure,Pregnancy Test Positive
FreeStyle Lite Test,Taking Medication For Diabetes Long-term Use Of Insulin
CitraNatal 90 DHA,Planning To Become Pregnant
Aspirin,Benign Essential Hypertension
Meclizine HCl,Dizziness
Betamethasone,Chronic Frontal Sinusitis
Reclast,Osteoporosis
Numoisyn Lozenge,Sjogren's Syndrome
Kayexalate,Hyperkalemia
Rythmol SR,Catheter Ablation Of Arrhythmogenic Focus
Vaniqa,Hirsutism
Trizivir,HIV Infection
Helidac,Helicobacter Pylori (H. Pylori) Infection
Stalevo 150,Parkinson's Disease With Dementia
MedroxyPROGESTERone Acetate,Polycystic Ovarian Syndrome
Diastat Pediatric,Wearing Diapers
Insulin Syringe,Type I Diabetes Mellitus - Uncontrolled
Baclofen,Multiple Sclerosis
Savella,Fibromyalgia
Cyclobenzaprine HCl,Lower Back Pain
Avonex Prefilled,Multiple Sclerosis
NexAVAR,Hepatocellular Carcinoma Of The Liver
No Reported Medications,Allergies
Flecainide Acetate,Catheter Ablation Of Arrhythmogenic Focus
AmLODIPine Besylate,Hyperlipidemia
Flovent HFA,Currently In School
NovoFine 30,Type I Diabetes Mellitus - Uncontrolled
NuvaRing,Gynecologic Services Contraceptive Management
Retrovir,"Reported Positive HIV Test, No Symptoms Of Infection"
L-Arginine,Disorder Of Mitochondrial Metabolism
Zonisamide,Partial Complex Psychomotor Seizure With Intractable Seizure
Zetia,Hyperlipidemia
Metoprolol Succinate,Coronary Artery Disease
Indomethacin,Gout
Sertraline HCl,Depression
No Reported Medications,Secondhand Tobacco Smoke In Home
Hectorol,"Chronic Kidney Disease, Stage 3"
Adcirca,Secondary Pulmonary Hypertension
Cheratussin AC,Cough
Azithromycin,Tobacco Use
Calmoseptine,Housing DME Oxygen Tank
FreeStyle Test,Type I Diabetes Mellitus - Uncontrolled
Cilostazol,Peripheral Vascular Disease
Toviaz,Urinalysis Results: pH
Ovidrel,Female Infertility
Mycophenolate Mofetil,Systemic Lupus Erythematosus
Advair Diskus,Asthma
Glycopyrrolate,Delayed Developmental Milestones
Benzonatate,Acute Bronchitis
Byetta 10 MCG Pen,Reported Previous High Blood Pressure
Oxygen,Pulmonary Hypertension
BD Lancet Ultrafine 33G,Visit For: Fit/Adjust Insulin Pump
BD Logic Blood Glucose Monitor,Visit For: Fit/Adjust Insulin Pump
"Pen Needles 5/16""",Obesity
Levemir FlexPen,Reported Previous High Blood Pressure
BD Lancet Ultrafine 33G,Type I Diabetes Mellitus - Uncontrolled
Premarin,Hysterectomy
Humatrope,Turner Syndrome
Ventavis,Pulmonary Hypertension
Isosorbide Mononitrate CR,Coronary Artery Disease
Testosterone Enanthate,Hypogonadotrophic Hypogonadism
Lipitor,Hypertension
Toviaz,Urinalysis Results: Specific Gravity
AmLODIPine Besylate,Essential Hypertension
Vyvanse,Attention-deficit Hyperactivity Disorder
Norditropin NordiFlex Pen,Growth Hormone Deficiency (Pituitary Dwarfism)
Dexamethasone Sodium Phosphate,Nasal Polyps
Zemplar,Anemia Of Chronic Kidney Disease
Diastat Pediatric,Housing DME For Tube Feeding
Colcrys,Chronic Gout
Glycopyrrolate,Esophagogastric Fundoplasty Nissen Fundoplication
TraZODone HCl,Insomnia
Nephron FA,"Chronic Kidney Disease, Stage 4"
Flecainide Acetate,Atrial Fibrillation
Alendronate Sodium,Osteopenia
Adderall XR,Attention-deficit Hyperactivity Disorder
Hydrocortisone,General Surgery
Testosterone Enanthate,Hypogonadism
Floxin Otic,Mixed Conductive And Sensorineural Hearing Loss
DME,Edema
PHENobarbital,Percutaneous Placement Of Gastrostomy Tube
Strattera,"ADHD, Predominantly Inattentive Type"
NexAVAR,Renal Carcinoma
Amoxicillin,Acute Upper Respiratory Infection
No Reported Medications,Living With Parents
CefTAZidime,Chronic Ethmoidal Sinusitis
Zonegran,Partial Complex Psychomotor Seizure With Intractable Seizure
Differin,Acne
Cyclobenzaprine HCl,Backache
Lisinopril-Hydrochlorothiazide,Benign Essential Hypertension
PC Pediatric Electrolyte,Housing DME For Tube Feeding
Dovonex,Psoriasis
Budesonide,Chronic Ethmoidal Sinusitis
Adderall,Attention-deficit Hyperactivity Disorder
Sildenafil Citrate,Housing DME Oxygen Tank
Vitamin D,Vitamin D Deficiency
Pulmozyme,Housing DME For Tube Feeding
Ketoconazole,Tinea Corporis
Levothroid,Hypothyroidism
BD Insulin Syringe Ultrafine,Diabetes Mellitus Poorly Controlled
Veramyst,Currently In School
Simvastatin,Hypertension
"Pen Needles 1/2""",Reported Previous High Blood Pressure
Toviaz,Detrusor Instability
Atenolol,Hyperlipidemia
Nephron FA,social history unchanged
Lunesta,Insomnia
PediaSure/Fiber,Quadriplegic Cerebral Palsy With Spasticity
Lupron Depot,Prostate Cancer
Tracleer,Scleroderma
Prevacid SoluTab,Esophageal Reflux
Aricept,Memory Lapses Or Loss
